,name,rating,review,comp_type,headquaters,year_old,total_employee
503,DIVI'S Laboratorie...,3.6,(673 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 12 more",31 years old,10k-50k employees (Global)
504,NTPC,4.2,(673 Reviews),Private,"Delhi/NCR,Delhi + 67 more",46 years old,10k-50k employees (India)
505,Tesco,4.1,(673 Reviews),Private,Hertfordshire + 14 more,102 years old,1k-5k employees (India)
506,Canara HSBC OBC Li...,3.6,(672 Reviews),Public,"Gurgaon/Gurugram,Haryana + 136 more",13 years old,1k-5k employees (Global)
507,Aavas Financiers,4.0,(672 Reviews),Public,"Jaipur,Rajasthan + 144 more",10 years old,5k-10k employees (Global)
508,SLK Global Service...,3.9,(671 Reviews),Private,"Dallas,Texas + 5 more",21 years old,51-200 employees (India)
509,Relaxo Footwear,4.0,(671 Reviews),Public,"New Delhi,Delhi + 82 more",45 years old,5k-10k employees (Global)
510,Volkswagen,4.4,(671 Reviews),Private,Berlin + 78 more,20 years old,10k-50k employees (India)
511,Petrofac,4.3,(668 Reviews),Private,"Sharjah,Sharjah + 25 more",30 years old,1k-5k employees (India)
512,Tikona Infinet,3.9,(667 Reviews),Private,"Mumbai,Maharashtra + 41 more",13 years old,1k-5k employees (Global)
513,KONE,4.2,(666 Reviews),Private,"Chennai,Tamil Nadu + 49 more",37 years old,1k-5k employees (India)
514,iQor Global Servic...,4.0,(665 Reviews),Private,"Saint Petersburg,Florida + 47 more",23 years old,1k-5k employees (India)
515,Altisource,3.6,(664 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",14 years old,5k-10k employees (Global)
516,USV,4.1,(664 Reviews),Private,"Mumbai,Maharashtra + 67 more",60 years old,1k-5k employees (Global)
517,Saipem,4.4,(664 Reviews),Private,"San Donato Milanese,Milan + 27 more",64 years old,1k-5k employees (India)
518,Trent,4.3,(663 Reviews),Public,"Mumbai,Maharashtra + 73 more",23 years old,1k-5k employees (India)
519,J. Kumar Infraproj...,4.0,(661 Reviews),Public,"Mumbai,Maharashtra + 23 more",41 years old,1k-5k employees (Global)
520,Star Health & Alli...,4.0,(661 Reviews),Private,"Chennai,Tamil Nadu + 155 more",15 years old,5k-10k employees (Global)
521,Zomato,3.9,(661 Reviews),Private,"Gurgaon/Gurugram,Haryana + 106 more",13 years old,1k-5k employees (India)
522,Exela Technologies,3.6,(660 Reviews),Private,"Irving,Texas + 13 more",10 years old,1k-5k employees (India)
523,Fabindia,4.0,(659 Reviews),Private,"Delhi/NCR,Delhi + 67 more",63 years old,501-1k employees (Global)
524,Factset Research S...,4.0,(658 Reviews),Private,"Norwalk,Connecticut + 4 more",14 years old,1k-5k employees (India)
525,Indiabulls Home Lo...,4.1,(658 Reviews),"Gurgaon/Gurugram,Haryana + 99 more",16 years old,5k-10k employees (India),nan
526,Welspun India,4.0,(658 Reviews),Private,Mumbai + 27 more,36 years old,201-500 employees (Global)
527,Philips,4.0,(657 Reviews),Private,Amsterdam + 65 more,91 years old,5k-10k employees (India)
528,Laurus Labs,4.3,(656 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 4 more",16 years old,1k-5k employees (India)
529,HDFC Securities,3.6,(656 Reviews),Public,"Mumbai,Maharashtra + 121 more",21 years old,1k-5k employees (Global)
530,Harman Connected S...,3.8,(654 Reviews),Private,"Mountain View,California + 7 more",20 years old,1k-5k employees (India)
531,renault nissan tec...,3.8,(653 Reviews),Chennai + 9 more,nan,nan,nan
532,G R Infraprojects,4.1,(652 Reviews),Public,"Udaipur,Rajasthan + 83 more",26 years old,10k-50k employees (India)
533,Schindler Group,3.9,(649 Reviews),Private,"Ebikon,Lucerne + 47 more",24 years old,1k-5k employees (India)
534,Steel Strips Wheel...,3.5,(646 Reviews),Public,"Chandigarh,Chandigarh + 23 more",36 years old,50k-1 Lakh employees (Global)
535,Aptara,3.5,(646 Reviews),Private,"Falls Church,Virginia + 9 more",33 years old,1k-5k employees (India)
536,Torrent Power,3.9,(645 Reviews),Public,"Ahmedabad,Gujrat + 27 more",25 years old,5k-10k employees (Global)
537,Mercedes-Benz Rese...,3.8,(645 Reviews),Private,Stuttgart + 44 more,25 years old,1k-5k employees (India)
538,Cisco Systems,4.4,(644 Reviews),Private,"San Jose,California + 25 more",37 years old,10k-50k employees (India)
539,Sharekhan,4.1,(644 Reviews),Public,"Mumbai,Maharashtra + 96 more",21 years old,1k-5k employees (India)
540,Northern Trust Ope...,4.1,(643 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,10k-50k employees (Global)
541,Columbia Asia,4.3,(643 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",16 years old,5k-10k employees (Global)
542,Heritage Foods Ind...,4.0,(643 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 59 more",29 years old,1k-5k employees (Global)
543,GMR Group,4.2,(640 Reviews),Public,"Delhi/NCR,New Delhi + 42 more",43 years old,5k-10k employees (Global)
544,Crisil,3.6,(638 Reviews),Public,"Mumbai,Maharashtra + 42 more",34 years old,1k-5k employees (India)
545,Motilal Oswal Fina...,3.7,(637 Reviews),Public,"Mumbai,Maharashtra + 75 more",34 years old,5k-10k employees (India)
546,Sysnet Global Tech...,3.8,(637 Reviews),Private,"Delhi/NCR,Delhi + 86 more",22 years old,1k-5k employees (Global)
547,TCE,3.6,(634 Reviews),Private,"Mumbai,Maharashtra + 58 more",59 years old,1k-5k employees (Global)
548,ISGEC,4.0,(630 Reviews),Public,"Noida,Uttar Pradesh + 41 more",88 years old,1k-5k employees (Global)
549,Unisys,3.6,(629 Reviews),Private,"Blue Bell,Pennsylvania + 8 more",34 years old,1k-5k employees (India)
550,DENSO,4.0,(627 Reviews),Public,"Kariya,Aichi + 31 more",74 years old,501-1k employees (India)
551,Faurecia,4.0,(626 Reviews),Private,Nanterre + 20 more,24 years old,1k-5k employees (India)
552,Amity University,3.8,(626 Reviews),Private,"Noida,Uttar Pradesh + 61 more",16 years old,501-1k employees (Global)
553,Jubilant Life Scie...,4.0,(625 Reviews),Public,"Noida,Uttar Pradesh + 39 more",43 years old,5k-10k employees (Global)
554,Lumax Industries,4.1,(622 Reviews),Public,"Pune,Maharashtra + 25 more",76 years old,5k-10k employees (Global)
555,CMA CGM,4.0,(622 Reviews),Private,"Marseille,Marseille + 16 more",43 years old,501-1k employees (India)
556,Bata,4.0,(620 Reviews),Public,Lausanne + 77 more,90 years old,1k-5k employees (India)
557,NSH,3.9,(620 Reviews),Private,Al Jubail + 29 more,43 years old,501-1k employees (India)
558,NIIT,3.6,(620 Reviews),Gurgaon/Gurugram + 77 more,1k-5k employees (India),nan,nan
559,HERE Technologies,4.0,(619 Reviews),Private,"Eindhoven,North Brabant + 8 more",36 years old,1k-5k employees (India)
560,AIS Distribution S...,3.8,(618 Reviews),Public,"Gurgaon/Gurugram,Haryana + 44 more",37 years old,1k-5k employees (Global)
561,Yash Technologies,3.8,(617 Reviews),Private,"East Moline,Illinois + 10 more",25 years old,5k-10k employees (India)
562,Security and Intel...,4.2,(613 Reviews),"Delhi/NCR,Delhi + 103 more",36 years old,1 Lakh+ employees (Global),nan
563,SKF,4.0,(612 Reviews),Public,"Pune,Maharashtra + 43 more",98 years old,10k-50k employees (Global)
564,Paisabazaar.com,3.9,(610 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",10 years old,1k-5k employees (India)
565,CRB Tech Solution,4.4,(610 Reviews),Private,"Pune,Maharashtra + 3 more",20 years old,201-500 employees (Global)
566,Citibank,4.1,(610 Reviews),Private,"New York,New York + 36 more",209 years old,10k-50k employees (India)
567,Intellect Design A...,3.9,(606 Reviews),Public,"Chennai,Tamil Nadu + 20 more",7 years old,1k-5k employees (Global)
568,ECIL,4.1,(606 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",54 years old,10k-50k employees (Global)
569,Minda Industries,3.9,(606 Reviews),Public,"Gurgaon/Gurugram,Haryana + 34 more",63 years old,1k-5k employees (Global)
570,Aragen Life Scienc...,4.3,(605 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",21 years old,1k-5k employees (India)
571,IDC Technologies,3.5,(605 Reviews),Private,"Milpitas,California + 42 more",18 years old,1k-5k employees (India)
572,DISH TV,3.7,(605 Reviews),Public,"Noida,Uttar Pradesh + 103 more",18 years old,1k-5k employees (Global)
573,Karvy Stock Brokin...,3.5,(604 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 92 more",31 years old,10k-50k employees (Global)
574,Marico,4.1,(604 Reviews),Public,"Mumbai,Maharashtra + 100 more",31 years old,1k-5k employees (India)
575,Indian Railways,4.0,(604 Reviews),Govt Organisation,"Delhi/NCR,Delhi + 100 more",168 years old,1 Lakh+ employees (Global)
576,FDC,3.9,(603 Reviews),Public,"Mumbai,Maharashtra + 69 more",81 years old,5k-10k employees (Global)
577,Orion Edutech,3.2,(602 Reviews),Private,"Kolkata,West Bengal + 90 more",15 years old,1k-5k employees (Global)
578,Oil And Natural Ga...,4.3,(602 Reviews),"Delhi/NCR,Delhi + 56 more",65 years old,10k-50k employees (India),nan
579,Telenor,4.4,(601 Reviews),Private,"Fornebu,Fornebu + 112 more",12 years old,1k-5k employees (India)
580,Kendriya Vidyalaya...,4.4,(601 Reviews),Public,"Delhi/NCR,Delhi + 145 more",58 years old,10k-50k employees (Global)
581,SAP,4.4,(600 Reviews),Private,"Walldorf,Baden-Württemberg + 18 more",23 years old,10k-50k employees (India)
582,Bharat Sanchar Nig...,4.1,(600 Reviews),Private,"Delhi/NCR,New Delhi + 150 more",21 years old,50k-1 Lakh employees (Global)
583,Sanofi,4.5,(600 Reviews),Public,Paris + 56 more,17 years old,1k-5k employees (India)
584,MSN Laboratories,3.7,(599 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 39 more",18 years old,5k-10k employees (Global)
585,Square Yards,2.7,(599 Reviews),Private,"Gurgaon/Gurugram,Haryana + 33 more",7 years old,1k-5k employees (Global)
586,GAMMON INDIA,4.1,(594 Reviews),Public,"Mumbai,Maharashtra + 60 more",99 years old,1k-5k employees (Global)
587,Bajaj Motors,3.8,(591 Reviews),Private,Gurgaon + 40 more,35 years old,1k-5k employees (India)
588,Fino Payments Bank,4.3,(590 Reviews),Private,"Mumbai,Maharashtra + 126 more",15 years old,1k-5k employees (India)
589,Indiabulls Consume...,3.8,(589 Reviews),"Mumbai,Maharashtra + 113 more",27 years old,5k-10k employees (Global),nan
590,Oracle Financial S...,3.7,(589 Reviews),Public,Mumbai + 12 more,31 years old,5k-10k employees (Global)
591,Spicejet,3.5,(589 Reviews),Public,"Gurgaon/Gurugram,Haryana + 40 more",17 years old,10k-50k employees (Global)
592,L&T Hydrocarbon En...,4.0,(589 Reviews),Private,"Mumbai,Maharashtra + 44 more",12 years old,5k-10k employees (Global)
593,GAIL,4.4,(588 Reviews),Private,"Delhi/NCR,Delhi + 62 more",37 years old,1k-5k employees (Global)
594,Apotex Research,4.6,(586 Reviews),Private,"Brantford,Ontario + 7 more",18 years old,1k-5k employees (India)
595,Computer Age Manag...,3.7,(586 Reviews),Private,"Chennai,Tamil Nadu + 59 more",33 years old,5k-10k employees (Global)
596,Mercer,3.9,(585 Reviews),Private,"New York,New York + 10 more",76 years old,1k-5k employees (India)
597,Orange Business Se...,4.1,(585 Reviews),Private,Paris + 33 more,15 years old,1k-5k employees (India)
598,Daimler India Comm...,4.0,(583 Reviews),Private,"Chennai,Tamil Nadu + 25 more",135 years old,1k-5k employees (Global)
