,name,rating,review,comp_type,headquaters,year_old,total_employee
330,Dalmia Bharat Ceme...,4.1,(941 Reviews),Public,"Delhi/NCR,New Delhi + 116 more",86 years old,50k-1 Lakh employees (Global)
331,JK Tyres,3.8,(940 Reviews),Private,New Delhi + 91 more,70 years old,1k-5k employees (India)
332,Shree Cement,4.3,(932 Reviews),Public,"Kolkata,West Bengal + 121 more",42 years old,5k-10k employees (India)
333,Karvy Fintech,3.6,(931 Reviews),"Hyderabad/Secunderabad,Telangana + 67 more",43 years old,5k-10k employees (Global),nan
334,Gabriel India,4.4,(927 Reviews),Public,"Pune,Maharashtra + 29 more",60 years old,1k-5k employees (India)
335,Whirlpool,4.1,(926 Reviews),Public,"Gurgaon/Gurugram,Haryana + 98 more",19 years old,1k-5k employees (India)
336,Aon,3.9,(925 Reviews),Private,London + 15 more,81 years old,10k-50k employees (India)
337,United Phosphorus,4.3,(923 Reviews),Public,"Mumbai,Maharashtra + 85 more",52 years old,1k-5k employees (India)
338,Indus Towers,4.0,(922 Reviews),Private,"Gurgaon/Gurugram,Haryana + 82 more",14 years old,1k-5k employees (India)
339,Power Mech Project...,3.9,(915 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 78 more",14 years old,10k-50k employees (Global)
340,Parle Agro,4.3,(914 Reviews),Private,"Mumbai,Maharashtra + 114 more",37 years old,1k-5k employees (India)
341,GSK Pharmaceutical...,4.3,(913 Reviews),Middlesex + 118 more,191 years old,1k-5k employees (India),nan
342,Delphi TVS,4.1,(912 Reviews),Private,"Kanchipuram,Tamil Nadu + 18 more",32 years old,1k-5k employees (Global)
343,Tata Technologies,3.2,(911 Reviews),Private,Singapore + 28 more,32 years old,5k-10k employees (India)
344,Sigma Electric Man...,3.9,(906 Reviews),Private,"Garner,North Carolina + 13 more",39 years old,1k-5k employees (India)
345,Lucas-TVS,4.0,(905 Reviews),Private,"Chennai,Tamil Nadu + 39 more",60 years old,1k-5k employees (India)
346,Crompton Greaves,4.0,(902 Reviews),Public,"Mumbai,Maharashtra + 70 more",84 years old,1k-5k employees (Global)
347,AXA Business Servi...,3.8,(894 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",26 years old,1k-5k employees (Global)
348,V-mart,4.3,(894 Reviews),Public,"Gurgaon/Gurugram,Haryana + 152 more",19 years old,5k-10k employees (India)
349,Shriram City Union...,4.2,(893 Reviews),Public,"Chennai,Tamil Nadu + 279 more",35 years old,10k-50k employees (India)
350,IDBI Bank,3.9,(892 Reviews),Public,"Mumbai,Maharashtra + 213 more",57 years old,10k-50k employees (Global)
351,Lenskart,2.9,(891 Reviews),Private,"Faridabad,Haryana + 79 more",11 years old,5k-10k employees (Global)
352,AGS Health,4.0,(890 Reviews),Private,"Washington,D.C. + 17 more",10 years old,5k-10k employees (Global)
353,ICICI Securities,3.6,(888 Reviews),Public,"Mumbai,Maharashtra + 88 more",26 years old,5k-10k employees (Global)
354,Bharti AXA Life In...,3.9,(888 Reviews),Private,Mumbai + 166 more,15 years old,1k-5k employees (Global)
355,CMS Infosystems,3.8,(886 Reviews),Private,"Mumbai,Maharashtra + 115 more",13 years old,50k-1 Lakh employees (Global)
356,DS Group,4.1,(886 Reviews),Private,"Noida,Uttar Pradesh + 92 more",92 years old,1k-5k employees (India)
357,Endurance Technolo...,3.7,(885 Reviews),Public,"Aurangabad,Maharashtra + 24 more",36 years old,1k-5k employees (Global)
358,Aarti Industries,4.2,(882 Reviews),Public,"Mumbai,Maharashtra + 24 more",46 years old,1k-5k employees (India)
359,TVS Credit Service...,4.2,(881 Reviews),Public,"Chennai,Tamil Nadu + 173 more",13 years old,10k-50k employees (Global)
360,Hindustan Aeronaut...,4.4,(878 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 31 more",81 years old,10k-50k employees (Global)
361,Bharat Petroleum,4.2,(877 Reviews),Private,"Mumbai,Maharashtra + 150 more",69 years old,10k-50k employees (Global)
362,Cadila Pharmaceuti...,3.9,(873 Reviews),Public,"Ahmedabad,Gujrat + 87 more",70 years old,5k-10k employees (India)
363,R1 RCM,3.8,(864 Reviews),Private,"Chicago,Illinois + 10 more",18 years old,1k-5k employees (India)
364,Narayana Health,4.3,(860 Reviews),"Bangalore/Bengaluru,Karnataka + 45 more",21 years old,10k-50k employees (Global),nan
365,Rane (Madras),4.1,(859 Reviews),Public,"Vallancherry,Tamil Nadu + 43 more",24 years old,1k-5k employees (India)
366,Datamatics Global ...,3.6,(856 Reviews),Public,Mumbai + 17 more,46 years old,10k-50k employees (Global)
367,Kalpataru Power Tr...,4.1,(855 Reviews),Public,"Mumbai,Maharashtra + 114 more",40 years old,1k-5k employees (Global)
368,Metro,4.1,(853 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 48 more",57 years old,1k-5k employees (India)
369,Future Generali In...,3.8,(853 Reviews),Private,Mumbai + 118 more,14 years old,1k-5k employees (India)
370,Tata Capital Finan...,4.3,(852 Reviews),Public,Mumbai + 99 more,14 years old,5k-10k employees (Global)
371,MetLife,4.3,(851 Reviews),Private,New York + 36 more,13 years old,5k-10k employees (India)
372,Sopra Steria,4.1,(849 Reviews),Private,"Paris,Ile-de-France + 9 more",53 years old,1k-5k employees (India)
373,Hindustan Construc...,4.1,(848 Reviews),Public,"Mumbai,Maharashtra + 49 more",95 years old,1k-5k employees (Global)
374,Reliance Trends,4.3,(845 Reviews),Private,"Navi Mumbai,Maharashtra + 195 more",15 years old,1 Lakh+ employees (India)
375,SRF,4.3,(845 Reviews),Public,"Gurgaon/Gurugram,Haryana + 32 more",51 years old,5k-10k employees (Global)
376,BT Group,4.1,(844 Reviews),Private,London + 11 more,175 years old,5k-10k employees (India)
377,Johnson Controls,3.7,(843 Reviews),Public,Cork + 47 more,26 years old,5k-10k employees (India)
378,Parle Products,4.0,(842 Reviews),Private,Mumbai + 110 more,92 years old,50k-1 Lakh employees (Global)
379,Kansai Nerolac Pai...,3.9,(841 Reviews),Public,"Mumbai,Maharashtra + 108 more",101 years old,1k-5k employees (India)
380,Punj Lloyd,4.2,(840 Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",39 years old,5k-10k employees (Global)
381,Saint-Gobain,4.1,(838 Reviews),Private,Paris + 51 more,356 years old,10k-50k employees (India)
382,Myntra,4.1,(837 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 68 more",14 years old,1k-5k employees (India)
383,ITC Hotels,4.0,(834 Reviews),Public,"Kolkata,West Bengal + 58 more",46 years old,10k-50k employees (Global)
384,Statestreet HCL Se...,3.4,(833 Reviews),Private,New Delhi + 8 more,9 years old,5k-10k employees (Global)
385,jCB,4.1,(833 Reviews),Private,"Rocester,Staffordshire + 59 more",76 years old,1k-5k employees (India)
386,Coromandel Interna...,4.2,(832 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 106 more",60 years old,5k-10k employees (Global)
387,Persistent Systems,4.1,(830 Reviews),Public,"Pune,Maharashtra + 5 more",31 years old,10k-50k employees (Global)
388,Dainik Bhaskar Gro...,3.9,(828 Reviews),Public,"Bhopal,Madhya Pradesh + 102 more",63 years old,5k-10k employees (Global)
389,Barclays Shared Se...,4.2,(827 Reviews),Private,London + 9 more,14 years old,10k-50k employees (Global)
390,WABCO,4.0,(826 Reviews),Public,Berne + 26 more,52 years old,1k-5k employees (India)
391,Uflex,3.8,(824 Reviews),Public,"Noida,Uttar Pradesh + 30 more",38 years old,5k-10k employees (Global)
392,CARS24.com,3.8,(823 Reviews),Private,"Gurgaon/Gurugram,Haryana + 83 more",6 years old,1k-5k employees (India)
393,Quest Global,3.3,(819 Reviews),Private,Singapore + 19 more,24 years old,10k-50k employees (India)
394,Iksula,4.0,(818 Reviews),"Mumbai,Maharashtra + 114 more",14 years old,1k-5k employees (Global),nan
395,Aforeserve.com,3.4,(817 Reviews),Private,"Noida,Uttar Pradesh + 114 more",21 years old,1k-5k employees (Global)
396,Inox Leisure,4.1,(813 Reviews),Public,"Mumbai,Maharashtra + 74 more",22 years old,1k-5k employees (Global)
397,Sterlite Technolog...,4.1,(812 Reviews),Public,"Pune,Maharashtra + 48 more",33 years old,1k-5k employees (India)
398,Panasonic,4.2,(810 Reviews),Private,"Kadoma,Osaka + 96 more",103 years old,10k-50k employees (India)
399,Grasim Industries,4.1,(808 Reviews),Public,Nagda + 43 more,74 years old,10k-50k employees (Global)
400,Max Fashion,4.3,(807 Reviews),Private,Abu Dhabi + 101 more,7 years old,5k-10k employees (India)
401,Societe Generale,3.8,(803 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",21 years old,1k-5k employees (India)
402,Lodha group,4.2,(803 Reviews),Private,"Mumbai,Maharashtra + 15 more",41 years old,5k-10k employees (Global)
403,Serco,4.2,(801 Reviews),Private,Hook + 37 more,33 years old,5k-10k employees (India)
404,Bureau Veritas,3.9,(800 Reviews),Private,La Défense + 59 more,193 years old,1k-5k employees (India)
405,Adani Wilmar,4.1,(797 Reviews),Public,"Ahmedabad,Gujrat + 95 more",33 years old,1k-5k employees (India)
406,Johnson & Johnson,4.3,(794 Reviews),Private,"New Brunswick,New Jersey + 98 more",64 years old,5k-10k employees (India)
407,Dell EMC,4.0,(792 Reviews),Private,Hopkinton + 44 more,42 years old,10k-50k employees (India)
408,Foxconn,4.1,(791 Reviews),Private,Taipei + 22 more,47 years old,10k-50k employees (India)
409,Mahindra Logistic,4.1,(791 Reviews),Public,"Mumbai,Maharashtra + 78 more",21 years old,1k-5k employees (Global)
410,Marriott Internati...,4.2,(791 Reviews),Private,"Bethesda,Maryland + 55 more",94 years old,10k-50k employees (India)
411,The Jaypee Group,4.2,(791 Reviews),Public,"Noida,Uttar Pradesh + 75 more",42 years old,10k-50k employees (India)
412,Vertex Customer So...,3.6,(791 Reviews),Private,Panchkula + 30 more,11 years old,1k-5k employees (Global)
413,Honeywell Automati...,3.9,(790 Reviews),Public,"Morris Plains,New Jersey + 42 more",115 years old,1 Lakh+ employees (Global)
414,Yazaki,4.0,(790 Reviews),Private,"Tokyo,Tokyo + 32 more",80 years old,10k-50k employees (India)
415,Birlasoft,3.6,(789 Reviews),Public,"Pune,Maharashtra + 16 more",26 years old,5k-10k employees (Global)
416,Info Edge,3.9,(789 Reviews),Public,"Noida,Uttar Pradesh + 43 more",26 years old,1k-5k employees (Global)
417,Sony,4.4,(786 Reviews),Public,"Delhi/NCR,Delhi + 100 more",27 years old,1 Lakh+ employees (Global)
418,Toyota Kirloskar M...,4.2,(784 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 50 more",24 years old,5k-10k employees (Global)
419,XcelServ Solutions,4.8,(783 Reviews),Private,"Las Vegas,Nevada + 34 more",10 years old,501-1k employees (India)
420,Cromā,4.4,(783 Reviews),Private,"Mumbai,Maharashtra + 58 more",15 years old,1k-5k employees (India)
421,Kent RO Systems,3.6,(781 Reviews),Private,"Noida,Uttar Pradesh + 104 more",22 years old,1k-5k employees (Global)
422,Sify Technologies,4.0,(777 Reviews),Private,"Chennai,Tamil Nadu + 66 more",26 years old,1k-5k employees (Global)
423,Procter & Gamble,4.3,(774 Reviews),Public,"Cincinnati,Ohio + 136 more",184 years old,5k-10k employees (India)
424,Reckitt Benckiser,4.1,(769 Reviews),Private,Slough + 83 more,22 years old,1k-5k employees (India)
